#{"t_start": 1708090341.4506433, "env_id": "None"}
r,l,t
0.0,122,26.446235
0.0,122,39.956917
0.0,122,53.371296
0.0,122,69.848706
0.0,122,86.797932
42.0,122,100.113873
63.0,122,111.807495
-6.0,122,123.443291
86.0,122,135.051142
1.0,122,151.638491
1.0,122,163.38868
1.0,122,174.973804
1.0,122,186.51387
1.0,122,201.401689
58.0,122,218.260841
-34.0,122,235.001793
7.0,122,251.220175
-72.0,122,264.194712
2.0,122,280.195079
2.0,122,293.043208
2.0,122,304.502684
2.0,122,320.704877
2.0,122,337.189335
-103.0,122,354.055058
16.0,122,366.895882
-68.0,122,378.452841
26.0,122,390.021665
1.0,122,406.91931
1.0,122,423.243514
1.0,122,439.358645
1.0,122,455.503918
1.0,122,472.007592
-78.0,122,488.882679
-45.0,122,505.335228
-32.0,122,521.76825
-72.0,122,539.38221
0.0,122,557.998127
0.0,122,571.242768
0.0,122,587.743995
0.0,122,604.258197
0.0,122,617.014356
35.0,122,628.976774
78.0,122,641.31865
-69.0,122,654.413984
-67.0,122,665.982875
0.0,122,681.974279
0.0,122,693.513051
0.0,122,704.980575
0.0,122,716.414088
0.0,122,727.85034
-6.0,122,739.774564
34.0,122,751.216102
19.0,122,762.639369
-24.0,122,774.273536
-1.0,122,790.151307
-1.0,122,801.673591
-1.0,122,813.288179
-1.0,122,824.758267
-1.0,122,836.182224
23.0,122,848.079739
60.0,122,859.849382
33.0,122,871.345402
32.0,122,882.840071
-3.0,122,898.651804
-3.0,122,910.258009
-3.0,122,922.092986
-3.0,122,933.549253
-3.0,122,944.927585
-87.0,122,956.829595
21.0,122,968.316115
-25.0,122,979.78821
-48.0,122,991.185375
0.0,122,1007.056987
0.0,122,1018.519651
0.0,122,1030.089542
0.0,122,1041.584375
0.0,122,1053.144566
-21.0,122,1065.170475
76.0,122,1076.595789
-10.0,122,1088.043458
50.0,122,1099.573974
-2.0,122,1115.509258
-2.0,122,1127.076708
-2.0,122,1138.601303
-2.0,122,1150.09359
-2.0,122,1161.550672
-9.0,122,1173.470731
19.0,122,1185.239584
-92.0,122,1196.760689
-69.0,122,1208.209565
1.0,122,1223.94526
1.0,122,1235.389354
1.0,122,1246.93683
1.0,122,1258.386389
1.0,122,1269.970722
22.0,122,1281.523996
-88.0,122,1293.466624
-32.0,122,1304.923317
-40.0,122,1316.316314
2.0,122,1331.983021
2.0,122,1343.403728
2.0,122,1354.930748
2.0,122,1366.627393
2.0,122,1378.111269
-99.0,122,1389.743038
-58.0,122,1401.63289
-14.0,122,1414.400021
-24.0,122,1427.193555
4.0,122,1442.947816
4.0,122,1454.453704
4.0,122,1465.782274
4.0,122,1477.228154
4.0,122,1488.564692
-102.0,122,1500.072386
-28.0,122,1512.119415
-18.0,122,1523.597777
-100.0,122,1535.175487
3.0,122,1550.798297
3.0,122,1562.233747
3.0,122,1573.626385
3.0,122,1584.974634
3.0,122,1596.467575
-83.0,122,1608.105788
-59.0,122,1620.127357
-58.0,122,1631.650278
-49.0,122,1643.573088
5.0,122,1659.40008
5.0,122,1670.816168
5.0,122,1682.37151
5.0,122,1694.33468
5.0,122,1705.734648
-103.0,122,1717.328635
31.0,122,1729.323856
-97.0,122,1740.775941
0.0,122,1752.267409
6.0,122,1768.168871
6.0,122,1780.755768
6.0,122,1792.538248
6.0,122,1804.36341
6.0,122,1821.368018
-95.0,122,1834.41356
-21.0,122,1848.123024
-59.0,122,1861.134479
63.0,122,1873.510784
11.0,122,1895.304712
11.0,122,1911.642049
11.0,122,1928.072927
11.0,122,1945.097471
11.0,122,1961.136101
-89.0,122,1977.680188
-91.0,122,1994.887513
-97.0,122,2008.948874
-8.0,122,2025.452507
9.0,122,2047.471694
9.0,122,2063.740209
9.0,122,2080.594984
9.0,122,2093.634165
9.0,122,2110.126544
-15.0,122,2126.42676
-39.0,122,2143.337914
40.0,122,2156.225392
39.0,122,2167.923252
10.0,122,2185.749297
10.0,122,2202.650522
10.0,122,2219.620486
10.0,122,2236.324881
10.0,122,2250.091275
5.0,122,2264.457057
-41.0,122,2277.878258
-41.0,122,2290.78549
52.0,122,2302.394585
5.0,122,2319.528566
5.0,122,2332.615352
5.0,122,2344.572955
5.0,122,2360.960754
5.0,122,2377.399074
-3.0,122,2391.168479
-31.0,122,2404.345469
41.0,122,2420.613704
34.0,122,2436.740888
-10.0,122,2458.788368
-10.0,122,2471.574812
-10.0,122,2483.539513
-10.0,122,2499.634687
-10.0,122,2515.955158
-29.0,122,2532.230925
-29.0,122,2548.664596
61.0,122,2565.73864
-95.0,122,2580.197726
-14.0,122,2602.225591
-14.0,122,2614.85202
-14.0,122,2626.84606
-14.0,122,2643.239992
-14.0,122,2659.874812
38.0,122,2676.455472
-29.0,122,2693.005231
-84.0,122,2710.50067
-89.0,122,2727.150078
-15.0,122,2749.320303
-15.0,122,2765.584774
-15.0,122,2781.825407
-15.0,122,2798.070104
-15.0,122,2814.35942
-92.0,122,2831.132397
25.0,122,2843.904665
35.0,122,2856.959447
10.0,122,2874.08653
-1.0,122,2896.115147
-1.0,122,2908.9254
-1.0,122,2920.90184
-1.0,122,2933.847268
-1.0,122,2950.02789
-81.0,122,2966.944159
-102.0,122,2983.401685
61.0,122,3000.401947
13.0,122,3016.9711
-2.0,122,3039.08189
-2.0,122,3050.886178
-2.0,122,3065.460471
-2.0,122,3081.774143
-2.0,122,3098.673156
-7.0,122,3115.438234
2.0,122,3132.008153
94.0,122,3148.894468
38.0,122,3162.632979
-12.0,122,3180.978739
-12.0,122,3197.53559
-12.0,122,3213.927612
-12.0,122,3227.196226
-12.0,122,3243.555152
-74.0,122,3259.863415
-4.0,122,3276.253879
-93.0,122,3292.839787
-61.0,122,3309.296845
-11.0,122,3327.489035
-11.0,122,3343.525953
-11.0,122,3360.127466
-11.0,122,3376.58794
-11.0,122,3392.962166
-49.0,122,3409.444315
70.0,122,3425.907852
16.0,122,3442.930166
42.0,122,3459.346515
-14.0,122,3476.393941
-14.0,122,3487.919646
-14.0,122,3499.911002
-14.0,122,3516.554047
-14.0,122,3532.750525
-40.0,122,3549.376843
-96.0,122,3565.975223
74.0,122,3583.022582
35.0,122,3599.605731
-20.0,122,3621.900629
-20.0,122,3638.002967
-20.0,122,3651.836988
-20.0,122,3668.207427
-20.0,122,3684.662707
23.0,122,3697.496453
-30.0,122,3709.118913
2.0,122,3721.162908
19.0,122,3733.085003
-19.0,122,3749.583769
-19.0,122,3766.259112
-19.0,122,3782.850224
-19.0,122,3795.693265
-19.0,122,3807.669559
-71.0,122,3824.019338
27.0,122,3840.256248
-80.0,122,3857.291574
-32.0,122,3874.301211
-22.0,122,3896.409752
-22.0,122,3910.526089
-22.0,122,3923.475365
-22.0,122,3936.751433
-22.0,122,3953.020942
38.0,122,3969.649543
-71.0,122,3986.019066
62.0,122,4000.387941
-14.0,122,4013.757516
-23.0,122,4031.120532
-23.0,122,4042.562694
-23.0,122,4055.089194
-23.0,122,4071.67232
-23.0,122,4087.727873
-43.0,122,4104.279022
-84.0,122,4120.870294
81.0,122,4138.06183
6.0,122,4151.524316
-24.0,122,4170.050051
-24.0,122,4186.243131
-24.0,122,4202.582449
-24.0,122,4218.764834
-24.0,122,4235.000453
-88.0,122,4251.365743
-95.0,122,4269.026284
61.0,122,4282.925146
-11.0,122,4299.97641
-16.0,122,4322.14924
-16.0,122,4338.022707
-16.0,122,4354.196734
-16.0,122,4370.313209
-16.0,122,4383.688287
-84.0,122,4400.489039
-68.0,122,4417.130879
-50.0,122,4433.462166
43.0,122,4450.805331
-17.0,122,4472.402446
-17.0,122,4488.231364
-17.0,122,4504.061404
-17.0,122,4520.13936
-17.0,122,4536.516638
3.0,122,4552.716603
65.0,122,4569.28073
26.0,122,4586.010859
-49.0,122,4603.275744
-17.0,122,4620.802316
-17.0,122,4634.74616
-17.0,122,4651.159663
-17.0,122,4664.600215
-17.0,122,4676.473828
-44.0,122,4692.954358
-35.0,122,4709.527139
80.0,122,4726.313769
77.0,122,4743.332289
-18.0,122,4765.662864
-18.0,122,4782.33185
-18.0,122,4799.390528
-18.0,122,4815.810226
-18.0,122,4831.960855
49.0,122,4845.267582
-96.0,122,4861.828801
25.0,122,4878.232298
-106.0,122,4895.015012
-10.0,122,4916.54525
-10.0,122,4933.170061
-10.0,122,4949.145023
-10.0,122,4965.837407
-10.0,122,4981.804723
29.0,122,4997.930526
-88.0,122,5014.22302
19.0,122,5030.774019
86.0,122,5047.32055
-13.0,122,5069.268129
-13.0,122,5085.709759
-13.0,122,5102.172
-13.0,122,5118.709985
-13.0,122,5134.969857
-41.0,122,5151.631456
75.0,122,5167.948606
-22.0,122,5184.556859
31.0,122,5201.953145
-4.0,122,5223.426205
-4.0,122,5239.615941
-4.0,122,5255.880462
-4.0,122,5272.412743
-4.0,122,5288.399314
56.0,122,5305.242961
61.0,122,5321.652798
15.0,122,5338.943589
71.0,122,5355.758296
-6.0,122,5377.524767
-6.0,122,5393.714826
-6.0,122,5409.961545
-6.0,122,5426.017747
-6.0,122,5442.38009
11.0,122,5458.970215
51.0,122,5476.286211
-88.0,122,5492.96341
-27.0,122,5509.759578
-11.0,122,5531.773165
-11.0,122,5548.329263
-11.0,122,5564.670754
-11.0,122,5581.555737
-11.0,122,5598.660091
-21.0,122,5615.437993
66.0,122,5631.995375
-39.0,122,5649.046086
-72.0,122,5665.651777
-11.0,122,5687.266673
-11.0,122,5703.663044
-11.0,122,5720.82936
-11.0,122,5733.649677
-11.0,122,5749.933406
68.0,122,5766.942027
-93.0,122,5783.69602
-87.0,122,5800.369321
49.0,122,5813.352818
-4.0,122,5835.154191
-4.0,122,5848.209933
-4.0,122,5859.644217
-4.0,122,5872.124892
-4.0,122,5888.231418
-71.0,122,5901.427743
-39.0,122,5913.625085
11.0,122,5926.852265
-5.0,122,5943.489738
-11.0,122,5965.449875
-11.0,122,5982.369588
-11.0,122,5998.975316
-11.0,122,6011.715383
-11.0,122,6023.861653
88.0,122,6040.332285
45.0,122,6056.703228
-55.0,122,6072.8808
-54.0,122,6089.775604
-2.0,122,6112.132722
-2.0,122,6128.282795
-2.0,122,6145.022362
-2.0,122,6157.722079
